method,anomaly_type,pipeline_size,trial,true_root_cause,target_node,rank,top1,top3,top5,reciprocal_rank,false_rc_rate_k5,elapsed_ms,convergence_iters
BFS,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.3650188446044922,7
Vanilla-RWR,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4589557647705078,9
Structural-RWR,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.40912628173828125,8
PC+RWR,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,452.62598991394043,8
AnomalyOnly,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.007867813110351562,1
APA-RCA,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4658699035644531,9
APA-RCA-v2,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.5011558532714844,9
APA-RCA-v3,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.43511390686035156,9
Schema-Constraint,A1_source_corruption,small,0,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,11,0,0,0,0.09090909090909091,1.0,0.9031295776367188,6
Vanilla-RWR,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,12,0,0,0,0.08333333333333333,1.0,0.4417896270751953,9
Structural-RWR,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,20,0,0,0,0.05,1.0,0.438690185546875,8
PC+RWR,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,20,0,0,0,0.05,1.0,3.721952438354492,8
AnomalyOnly,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.012159347534179688,1
APA-RCA,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4520416259765625,9
APA-RCA-v2,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.49495697021484375,9
APA-RCA-v3,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.43320655822753906,9
Schema-Constraint,A1_source_corruption,small,1,SRC_STOCK_2_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0,0
BFS,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.942230224609375,7
Vanilla-RWR,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,1.1382102966308594,9
Structural-RWR,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,1.2028217315673828,8
PC+RWR,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,5.990028381347656,8
AnomalyOnly,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.010967254638671875,1
APA-RCA,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.4589557647705078,9
APA-RCA-v2,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.47898292541503906,9
APA-RCA-v3,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.43487548828125,9
Schema-Constraint,A1_source_corruption,small,2,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,16,0,0,0,0.0625,1.0,0.3590583801269531,6
Vanilla-RWR,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,15,0,0,0,0.06666666666666667,1.0,0.4208087921142578,9
Structural-RWR,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,19,0,0,0,0.05263157894736842,1.0,0.4260540008544922,8
PC+RWR,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,19,0,0,0,0.05263157894736842,1.0,3.3347606658935547,8
AnomalyOnly,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,4,0,0,1,0.25,0.8,0.0059604644775390625,1
APA-RCA,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.42700767517089844,9
APA-RCA-v2,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.45680999755859375,9
APA-RCA-v3,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.415802001953125,9
Schema-Constraint,A1_source_corruption,small,3,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,11,0,0,0,0.09090909090909091,1.0,0.3540515899658203,6
Vanilla-RWR,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,13,0,0,0,0.07692307692307693,1.0,0.4138946533203125,9
Structural-RWR,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,21,0,0,0,0.047619047619047616,1.0,0.431060791015625,8
PC+RWR,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,21,0,0,0,0.047619047619047616,1.0,3.2958984375,8
AnomalyOnly,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,2,0,1,1,0.5,0.8,0.0059604644775390625,1
APA-RCA,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4239082336425781,9
APA-RCA-v2,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4718303680419922,9
APA-RCA-v3,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,1,1,1,1,1.0,0.8,0.4222393035888672,9
Schema-Constraint,A1_source_corruption,small,4,SRC_STOCK_3_PRICE,REPORT_STRESS,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.4181861877441406,7
Vanilla-RWR,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.5030632019042969,9
Structural-RWR,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.5168914794921875,8
PC+RWR,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,3.610849380493164,8
AnomalyOnly,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0059604644775390625,1
APA-RCA,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4057884216308594,9
APA-RCA-v2,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4360675811767578,9
APA-RCA-v3,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.39005279541015625,9
Schema-Constraint,A1_source_corruption,small,5,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.35500526428222656,7
Vanilla-RWR,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,0.4019737243652344,9
Structural-RWR,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,0.40793418884277344,8
PC+RWR,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,3.3097267150878906,8
AnomalyOnly,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0050067901611328125,1
APA-RCA,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,6,0,0,0,0.16666666666666666,1.0,0.4029273986816406,9
APA-RCA-v2,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6520748138427734,9
APA-RCA-v3,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.3991127014160156,9
Schema-Constraint,A1_source_corruption,small,6,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
BFS,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,16,0,0,0,0.0625,1.0,0.3409385681152344,6
Vanilla-RWR,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,15,0,0,0,0.06666666666666667,1.0,0.4000663757324219,9
Structural-RWR,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,17,0,0,0,0.058823529411764705,1.0,0.41604042053222656,8
PC+RWR,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,17,0,0,0,0.058823529411764705,1.0,3.2379627227783203,8
AnomalyOnly,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0050067901611328125,1
APA-RCA,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.3981590270996094,9
APA-RCA-v2,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.42510032653808594,9
APA-RCA-v3,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.39887428283691406,9
Schema-Constraint,A1_source_corruption,small,7,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,16,0,0,0,0.0625,1.0,0.3561973571777344,6
Vanilla-RWR,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,15,0,0,0,0.06666666666666667,1.0,0.3910064697265625,9
Structural-RWR,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,21,0,0,0,0.047619047619047616,1.0,0.4019737243652344,8
PC+RWR,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,21,0,0,0,0.047619047619047616,1.0,3.1402111053466797,8
AnomalyOnly,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0050067901611328125,1
APA-RCA,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4050731658935547,9
APA-RCA-v2,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.43320655822753906,9
APA-RCA-v3,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.4119873046875,9
Schema-Constraint,A1_source_corruption,small,8,SRC_STOCK_3_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.3829002380371094,7
Vanilla-RWR,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,0.3941059112548828,9
Structural-RWR,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.4017353057861328,8
PC+RWR,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,3.233671188354492,8
AnomalyOnly,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0059604644775390625,1
APA-RCA,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.47087669372558594,9
APA-RCA-v2,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4429817199707031,9
APA-RCA-v3,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.39315223693847656,9
Schema-Constraint,A1_source_corruption,small,9,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
BFS,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.36597251892089844,7
Vanilla-RWR,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4239082336425781,9
Structural-RWR,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,0.43392181396484375,8
PC+RWR,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,3.355264663696289,8
AnomalyOnly,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.006198883056640625,1
APA-RCA,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4260540008544922,9
APA-RCA-v2,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4673004150390625,9
APA-RCA-v3,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.415802001953125,9
Schema-Constraint,A1_source_corruption,small,10,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.37407875061035156,7
Vanilla-RWR,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,19,0,0,0,0.05263157894736842,1.0,0.4220008850097656,9
Structural-RWR,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.743865966796875,8
PC+RWR,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,3.330230712890625,8
AnomalyOnly,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.006198883056640625,1
APA-RCA,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.42510032653808594,9
APA-RCA-v2,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4520416259765625,9
APA-RCA-v3,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4189014434814453,9
Schema-Constraint,A1_source_corruption,small,11,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
BFS,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.3669261932373047,7
Vanilla-RWR,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,0.4169940948486328,9
Structural-RWR,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,0.4360675811767578,8
PC+RWR,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,3.340005874633789,8
AnomalyOnly,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.006198883056640625,1
APA-RCA,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.4220008850097656,9
APA-RCA-v2,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4608631134033203,9
APA-RCA-v3,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.415802001953125,9
Schema-Constraint,A1_source_corruption,small,12,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
BFS,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.34999847412109375,7
Vanilla-RWR,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4239082336425781,9
Structural-RWR,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,0.4317760467529297,8
PC+RWR,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,15,0,0,0,0.06666666666666667,1.0,3.5550594329833984,8
AnomalyOnly,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0057220458984375,1
APA-RCA,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.4069805145263672,9
APA-RCA-v2,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.45490264892578125,9
APA-RCA-v3,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4162788391113281,9
Schema-Constraint,A1_source_corruption,small,13,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.3561973571777344,7
Vanilla-RWR,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,19,0,0,0,0.05263157894736842,1.0,0.39124488830566406,9
Structural-RWR,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.43082237243652344,8
PC+RWR,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,3.2019615173339844,8
AnomalyOnly,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.005245208740234375,1
APA-RCA,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,4,0,0,1,0.25,0.8,0.39505958557128906,9
APA-RCA-v2,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.44798851013183594,9
APA-RCA-v3,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.3879070281982422,9
Schema-Constraint,A1_source_corruption,small,14,SRC_STOCK_1_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.0,0
BFS,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.37980079650878906,7
Vanilla-RWR,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4248619079589844,9
Structural-RWR,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.43582916259765625,8
PC+RWR,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,3.2958984375,8
AnomalyOnly,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0050067901611328125,1
APA-RCA,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.40221214294433594,9
APA-RCA-v2,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4317760467529297,9
APA-RCA-v3,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4138946533203125,9
Schema-Constraint,A1_source_corruption,small,15,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.7398128509521484,7
Vanilla-RWR,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,20,0,0,0,0.05,1.0,0.4038810729980469,9
Structural-RWR,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,0.3998279571533203,8
PC+RWR,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,18,0,0,0,0.05555555555555555,1.0,3.5047531127929688,8
AnomalyOnly,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0069141387939453125,1
APA-RCA,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.8230209350585938,9
APA-RCA-v2,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.6797313690185547,9
APA-RCA-v3,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.453948974609375,9
Schema-Constraint,A1_source_corruption,small,16,SRC_STOCK_2_PRICE,REPORT_LIMIT,2,0,1,1,0.5,0.8,0.0,0
BFS,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.5109310150146484,7
Vanilla-RWR,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4680156707763672,9
Structural-RWR,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,0.46515464782714844,8
PC+RWR,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,17,0,0,0,0.058823529411764705,1.0,3.3729076385498047,8
AnomalyOnly,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.005245208740234375,1
APA-RCA,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.396728515625,9
APA-RCA-v2,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4241466522216797,9
APA-RCA-v3,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.39196014404296875,9
Schema-Constraint,A1_source_corruption,small,17,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,26,0,0,0,0.038461538461538464,1.0,0.3960132598876953,7
Vanilla-RWR,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,21,0,0,0,0.047619047619047616,1.0,0.4258155822753906,9
Structural-RWR,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,0.43392181396484375,8
PC+RWR,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,16,0,0,0,0.0625,1.0,3.337860107421875,8
AnomalyOnly,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.006198883056640625,1
APA-RCA,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,5,0,0,1,0.2,0.8,0.42319297790527344,9
APA-RCA-v2,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.7069110870361328,9
APA-RCA-v3,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,1,1,1,1,1.0,0.8,0.4138946533203125,9
Schema-Constraint,A1_source_corruption,small,18,SRC_STOCK_3_PRICE,REPORT_LIMIT,3,0,1,1,0.3333333333333333,0.8,0.0,0
BFS,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,16,0,0,0,0.0625,1.0,0.3829002380371094,6
Vanilla-RWR,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,14,0,0,0,0.07142857142857142,1.0,0.41294097900390625,9
Structural-RWR,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,20,0,0,0,0.05,1.0,0.4401206970214844,8
PC+RWR,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,20,0,0,0,0.05,1.0,3.2911300659179688,8
AnomalyOnly,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,3,0,1,1,0.3333333333333333,0.8,0.006198883056640625,1
APA-RCA,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.4169940948486328,9
APA-RCA-v2,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.4572868347167969,9
APA-RCA-v3,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,1,1,1,1,1.0,0.8,0.41222572326660156,9
Schema-Constraint,A1_source_corruption,small,19,SRC_STOCK_2_PRICE,REPORT_DASHBOARD,2,0,1,1,0.5,0.8,0.0,0
